comp_code,stock_code
23050,RDEL
23087,IOLN
23165,MAXWELL
23220,UBL
23244,ISMTLTD
23296,IIFL
23313,SHK
23340,RAMASTEEL
23341,JBMA
23431,TFL
23448,LUXIND
23450,20MICRONS
23457,ADVANTA
23505,BHARATIDIL
23562,LUMAXTECH
23633,HANUNG
23653,HITECH
23785,NITINSPIN
23816,PRECAM
23818,PPAP
23869,SGL
23875,RENUKA
23920,NECLIFE
23921,SURYAPHARM
23959,UTTAMSUGAR
24005,ABMINTLTD
24049,FORTIS
24057,GITANJALI
24061,TVTODAY
24065,GSPL
24115,PBAINFRA
24194,DCHL
24258,NECCLTD
24379,SHARONBIO
24392,TANLA
24440,DEEPIND
24585,NAVINFLUOR
24603,8KMILES
24608,VBL
24610,JSL
24619,JAIBALAJI
24621,LUMAXAUTO
24625,APOLSINHOT
24642,GREENFIRE
24690,JSWHL
24705,GAMMNINFRA
24762,PALREDTEC
24769,MUTHOOTFIN
24800,PARSVNATH
24831,CREWBOS
24833,MSPL
24835,INDOWIND
24836,POCHIRAJU
24837,USHERAGRO
24853,ALLSEC
24882,FSL
24915,TEAMLEASE
24934,RKFORGE
24936,ZYLOG
24941,JINDALPHOT
24946,MCDHOLDING
24949,HTMEDIA
24951,ULTRACEMCO
24957,GULFPETRO
24978,NIITTECH
24988,MCLEODRUSS
24993,EKC
25008,CCCL
25031,BEDMUTHA
25040,FIEMIND
25067,REPCOHOME
25242,XCHANGING
25263,SALSTEEL
25267,YESBANK
25386,SOLARINDS
25397,UNITY
25457,IMPEXFERRO
25459,PURVA
25502,ALKALI
25513,ASHOKA
25537,ENIL
25561,
25599,OMNITECH
25636,UNIPLY
25664,AFL
25746,MCX
25767,SYNGENE
25775,BASML
25777,BRFL
25785,GLOBUSSPR
25805,RKDL
25807,SMSPHARMA
25812,SGFL
25830,GTLINFRA
25991,SKIPPER
26063,ADHUNIKIND
26184,KOLTEPATIL
26339,PINCON
26416,GPTINFRA
26453,GLODYNE
26456,HUBTOWN
26503,SAKSOFT
26569,PROVOGE
26579,KAYA
26604,NDL
26642,RML
26653,VIKASHMET
26729,SEZAL
26760,KMSUGAR
26766,VIVIMEDLAB
26780,IBVENTURES
26813,ROHITFERRO
26822,RAJVIR
26828,SHIVAMAUTO
